title;description;Frequency;subcategory;host;image_url;apple_podcasts_link;spotify_podcasts_link;youtube_podcast_link
Pivot;Sharp, unfiltered insights into the biggest stories in tech, business, and politics.;;[Business, News];Kara Swisher & Scott Galloway;https://is1-ssl.mzstatic.com/image/thumb/Podcasts122/v4/54/3c/8d/543c8dab-2a14-54dc-e899-014727a14ed5/mza_6721855998870076427.jpeg/600x600bb.jpg;https://podcasts.apple.com/us/podcast/pivot/id1073226719;https://open.spotify.com/show/5KtLYF0Ct52YVShkXyE71T;https://www.youtube.com/@pivotpodcastofficial
Last Week in AI;Weekly summaries of the most significant news and breakthroughs in AI.;weekly;[AI,Technology, News];Jeremie Harris & Andrei Kurenkov;https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/49/6b/53/496b532c-27d1-9cfa-9538-65a88c322b4b/mza_9426444235964349583.png/600x600bb.webp;https://podcasts.apple.com/us/podcast/last-week-in-ai/id1501728795;;https://www.youtube.com/channel/UCKARTq-t5SPMzwtft8FWwnA
The Diary Of A CEO with Steven Bartlett;Unfiltered conversations with the world's most influential people.;;[Business, Management];Steven Bartlett;https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/69/af/0d/69af0ddd-1e0f-7ae3-c84b-88f18e31ad0c/mza_14445920128472365296.png/600x600bb.jpg;https://podcasts.apple.com/us/podcast/the-diary-of-a-ceo-with-steven-bartlett/id1291423644;https://open.spotify.com/show/7iQXmUT7XGuZSzAMjoNWlX;https://www.youtube.com/TheDiaryOfACEO
Practical AI;Making artificial intelligence practical, productive, and accessible to everyone.;;[Technology, AI];Chris Benson & Daniel Whitenack;https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/72/7a/be/727abe96-2e44-d9ac-a6d9-7226372b5eb9/mza_6848050469316823102.jpg/600x600bb.jpg;https://podcasts.apple.com/us/podcast/practical-ai/id1406537385;https://open.spotify.com/show/6dOQ0o6d0o6d0o6d0o6d0o;https://www.youtube.com/@Changelog
The TWIML AI Podcast;The voice of machine learning and artificial intelligence.;;[Technology, Education];Sam Charrington;https://is1-ssl.mzstatic.com/image/thumb/Podcasts115/v4/21/53/7d/21537d80-5390-50c6-1e67-277579132223/mza_17684128532452331776.jpg/600x600bb.jpg;https://podcasts.apple.com/us/podcast/the-twiml-ai-podcast-formerly-this-week-in-machine/id1174578820;https://open.spotify.com/show/6dOQ0o6d0o6d0o6d0o6d0o;https://www.youtube.com/c/TWIMLAI
Today, Explained;The biggest news stories, explained.;;[News, Daily News];Sean Rameswaram & Noel King;https://is1-ssl.mzstatic.com/image/thumb/Podcasts125/v4/05/85/05/0585050e-1b8f-1033-5c74-297424682055/mza_10795436668032644249.jpg/600x600bb.jpg;https://podcasts.apple.com/us/podcast/today-explained/id1346207297;https://open.spotify.com/show/3pE8JJ5y5y5y5y5y5y5y5y;https://www.youtube.com/@todayexplained
Lex Fridman Podcast;Conversations about the nature of intelligence, consciousness, love, and power.;twice a month;[Science, Technology];Lex Fridman;https://is1-ssl.mzstatic.com/image/thumb/Podcasts115/v4/3e/e3/9c/3ee39c89-de08-47a6-7f3d-3849cef6d255/mza_16657851278549137484.png/600x600bb.webp;https://podcasts.apple.com/us/podcast/lex-fridman-podcast/id1434243584;https://open.spotify.com/show/2MAi0lvZr9ZnX1C1C1C1C1;https://www.youtube.com/lexfridman
AI Hustle;Blending AI with the gritty hustle of entrepreunal ventures;twice a week;[AI, Business, Entrepreneurship];Jaeden Schafer & Jamie McCauley;https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/cc/8e/99/cc8e9960-a40d-07ad-972c-aeb7027ea710/mza_7629370498854831205.jpeg/600x600bb.webp;https://podcasts.apple.com/us/podcast/ai-hustle-make-money-from-ai-and-chatgpt-midjourney/id1670018916;https://open.spotify.com/show/03rUZh8TQ1203GqAmzXJN1;https://www.youtube.com/@AI-Hustle-Podcast
The Prof G Pod;Unfiltered insights into the biggest stories in tech, business, and investing.;daily;[Business, News];Scott Galloway;https://is1-ssl.mzstatic.com/image/thumb/Podcasts122/v4/bf/51/49/bf514994-46cf-e232-d9d8-04f43e5cd73e/mza_13006823613766388873.jpeg/600x600bb.webp;https://podcasts.apple.com/us/podcast/the-prof-g-pod-with-scott-galloway/id1498802610;https://open.spotify.com/show/5Ob5psTjoUtIGYxKUp2QVy;https://www.youtube.com/c/TheProfGShow-ScottGalloway
On with Kara Swisher;No-holds-barred interviews with power players in business, tech, and politics.;twice a week;[Business, News, Interview, entrepreneurship];Kara Swisher;https://is1-ssl.mzstatic.com/image/thumb/Podcasts116/v4/19/31/db/1931db86-ed0a-e638-ced5-87c64f6e0959/mza_9202206376827126130.jpeg/600x600bb.webp;https://podcasts.apple.com/us/podcast/on-with-kara-swisher/id1643307527;https://open.spotify.com/show/42ntT7XnfdbbYetUQu0vu5;https://www.youtube.com/@onwithkaraswisher
Nerdland Maandoverzicht;Monthly review of science and technology news with a humorous twist.;monthly;[Science, Technology];Lieven Scheire & Hetty Helsmoortel;https://is1-ssl.mzstatic.com/image/thumb/Podcasts123/v4/10/ec/49/10ec49c8-0683-71cb-c8cd-b2de090c2db1/mza_6462623817505753686.jpg/600x600bb.webp;https://podcasts.apple.com/us/podcast/nerdland-podcast/id1217629669;https://open.spotify.com/show/1ZYnzMFnCcXg7B4i6PCrVA;https://www.youtube.com/nerdlandbe
The AI Daily Brief;A daily news analysis show on all things artifical intelligence.;daily;[AI,  News];Nathaniel Whittemore;https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/9c/78/d8/9c78d82d-a2d1-a026-6ca2-f92ea61be9ae/mza_18421328158594577747.jpg/600x600bb.webp;https://podcasts.apple.com/us/podcast/the-ai-daily-brief-artificial-intelligence-news/id1680633614;https://open.spotify.com/show/7gKwwMLFLc6RmjmRpbMtEO;www.youtube.com/@AIDailyBrief
Eye on AI;Interviews with people who are making a difference in artificial intelligence;bikweekly;[AI, Interview];Craig S. Smith;https://is1-ssl.mzstatic.com/image/thumb/Podcasts126/v4/e1/b0/89/e1b0891d-d710-9a32-e280-5922b92e08bf/mza_15552391604477952012.jpg/600x600bb.webp;https://podcasts.apple.com/us/podcast/eye-on-a-i/id1438378439;https://open.spotify.com/show/5aFnCGDhpL5bGr2uHy4bB5;https://www.youtube.com/@eyeonai3425
Last week in AI;Dynamic podcast that delves into the latest developments and topics in the world of AI;daily;[AI,  News];;https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/2c/ac/d8/2cacd8e3-a5e6-26a3-c6a8-336db073ae91/mza_15180851993386582744.jpeg/600x600bb.webp;https://podcasts.apple.com/us/podcast/last-week-in-ai/id1725552677;https://open.spotify.com/show/03Er4LJ3PlEVyVh2Cxj1tE;
